file_basename	sample_ID	og_sample_id	batch	species	population	tissue	embryo_stage	species	stage_category	stage_group	origin	collection								
Xbir-COAC-VIII-23-09-Embryo	1B9E	B9E	1R5	Xbirchmanni	COAC	embryo	40	bir	late	bir_late	lab	2023Aug								
Xcor-PTHC-VIII-23-01-Ovary	1C1O	C1O	1R5	Xcortezi	PTHC	ovary	40	cor	late	cor_late	lab	2023Aug								
Xcor-PTHC-VIII-23-01-Embryo	1C1E	C1E	1R5	Xcortezi	PTHC	embryo	40	cor	late	cor_late	lab	2023Aug								
Xbir-COAC-VIII-23-06-Ovary	1B6O	B6O	1R4	Xbirchmanni	COAC	ovary	40	bir	late	bir_late	lab	2023Aug								
Xcor-PTHC-VIII-23-03-Embryo	1C3E	C3E	1R4	Xcortezi	PTHC	embryo	40	cor	late	cor_late	lab	2023Aug								
S5_Xbirchmanni_embryo	2B5E	5	2R1	Xbirchmanni	COAC	embryo	45	bir	late	bir_late	lab	2023Feb								
S17_Xbirchmanni_embryo	217E	17	2R2	Xbirchmanni	COAC	embryo	45	bir	late	bir_late	lab	2023Feb								
S49_Xmalinche_embryo	2M49EW	49	2R5	Xmalinche	CHIC	embryo	50	mal	late	mal_late	wild	2023Feb								
S53_Xbirchmanni_embryo	2B53EW	53	2R5	Xbirchmanni	COAC	embryo	40	bir	late	bir_late	wild	2023Feb								
S57_Xmalinche_embryo	2M57EW	57	2R6	Xmalinche	CHIC	embryo	45	mal	late	mal_late	wild	2023Feb								
S69_Xbirchmanni_embryo	2B69E	69	2R6	Xbirchmanni	COAC	embryo	40	bir	late	bir_late	wild	2023Feb								
S2_Xmalinche_ovary	2M2O	2	2R1	Xmalinche	CHIC	ovary	0	mal	early	mal_early	lab	2023Feb								
S6_Xbirchmanni_ovary	2B6O	6	2R1	Xbirchmanni	COAC	ovary	45	bir	late	bir_late	lab	2023Feb								
S10_Xcortezi_ovary	2C10O	10	2R1	Xcortezi	PTHC	ovary	0	cor	early	cor_early	lab	2023Feb								
S14_Xmalinche_ovary	2M14O	14	2R2	Xmalinche	CHIC	ovary	2	mal	early	mal_early	lab	2023Feb								
