"","brood_no","dissection_date","species","population","number","treatment","standard_length_cm","wet_mass","dry_mass_1","dry_mass_2","FC_percent","notes","X","X.1","condition","avg_initial_std_length_mm","standard_length_mm","std_length_normalized","std_length_growth_rate"
"33","4b","20-XII-23","Xbir","COAC",2,"starved",1.001,NA,0.0025,0.0025,0,"",NA,NA,"Xbir_starved",10.02875,10.01,0.998130375171382,-0.00625000000000024
"34","4b","20-XII-23","Xbir","COAC",3,"starved",0.962,NA,0.0025,0.0022,12,"",NA,NA,"Xbir_starved",10.02875,9.62,0.959242178736134,-0.13625
"35","4b","20-XII-23","Xbir","COAC",4,"starved",0.913,NA,0.0025,0.0021,16,"",NA,NA,"Xbir_starved",10.02875,9.13,0.910382649881591,-0.299583333333333
"36","4b","20-XII-23","Xbir","COAC",5,"starved",0.945,NA,0.0024,0.0021,12.5,"2 pieces",NA,NA,"Xbir_starved",10.02875,9.45,0.942290913623333,-0.192916666666666
"37","4b","20-XII-23","Xbir","COAC",6,"starved",0.909,NA,0.0027,0.0024,11.11111111,"2 pieces",NA,NA,"Xbir_starved",10.02875,9.09,0.906394116913873,-0.312916666666666
"38","4b","20-XII-23","Xbir","COAC",7,"starved",0.926,NA,0.003,0.0027,10,"2 pieces",NA,NA,"Xbir_starved",10.02875,9.26,0.923345382026673,-0.25625
"39","4b","20-XII-23","Xbir","COAC",8,"starved",0.931,NA,0.0026,0.0024,7.69230769,"",NA,NA,"Xbir_starved",10.02875,9.31,0.928331048236321,-0.239583333333333
"40","4m","12-XI-23","Xmal","CHIC",1,"starved",1.09,NA,0.0032,0.003,6.25,"",NA,NA,"Xmal_starved",10.1081818181818,10.9,1.07833438258836,0.263939393939394
"41","4m","12-XI-23","Xmal","CHIC",2,"starved",0.956,NA,0.0028,0.0028,0,"",NA,NA,"Xmal_starved",10.1081818181818,9.56,0.945768504361903,-0.182727272727274
"42","4m","12-XI-23","Xmal","CHIC",3,"starved",0.992,NA,0.003,0.0029,3.33333333,"",NA,NA,"Xmal_starved",10.1081818181818,9.92,0.98138321791528,-0.0627272727272731
"43","4m","12-XI-23","Xmal","CHIC",5,"starved",1.011,NA,0.0029,0.0028,3.44827586,"",NA,NA,"Xmal_starved",10.1081818181818,10.11,1.00017987229067,0.000606060606060055
"44","4m","12-XI-23","Xmal","CHIC",1,"control",1.018,NA,0.004,0.0034,15,"stuck to foil and measured in 2 pieces",NA,NA,"Xmal_control",10.1081818181818,10.18,1.00710495548161,0.0239393939393935
"45","4m","12-XI-23","Xmal","CHIC",2,"control",1.047,NA,0.0043,0.0037,13.9534884,"",NA,NA,"Xmal_control",10.1081818181818,10.47,1.03579458584405,0.12060606060606
"46","4m","12-XI-23","Xmal","CHIC",3,"control",1.172,NA,0.0043,0.0032,25.5813953,"",NA,NA,"Xmal_control",10.1081818181818,11.72,1.15945678568217,0.537272727272727
"47","4m","12-XI-23","Xmal","CHIC",4,"control",1.267,NA,0.0043,0.0037,13.9534884,"",NA,NA,"Xmal_control",10.1081818181818,12.67,1.25344005755913,0.853939393939393
"48","4m","12-XI-23","Xmal","CHIC",5,"control",1.063,NA,0.0042,0.0037,11.9047619,"",NA,NA,"Xmal_control",10.1081818181818,10.63,1.05162334742333,0.173939393939393
"49","5m","17-XII-23","Xmal","CHIC",1,"control",1.004,NA,0.0035,0.0028,20,"",NA,NA,"Xmal_control",11.3146153846154,10.04,0.887347882248963,-0.424871794871795
"50","5m","17-XII-23","Xmal","CHIC",2,"control",1.112,NA,0.0036,0.0028,22.22222222,"",NA,NA,"Xmal_control",11.3146153846154,11.12,0.982799646474947,-0.0648717948717946
"51","5m","17-XII-23","Xmal","CHIC",3,"control",1.112,NA,0.0036,0.0027,25,"",NA,NA,"Xmal_control",11.3146153846154,11.12,0.982799646474947,-0.0648717948717946
"52","5m","17-XII-23","Xmal","CHIC",4,"control",1.054,NA,0.0035,0.0027,22.85714286,"",NA,NA,"Xmal_control",11.3146153846154,10.54,0.931538513835067,-0.258205128205128
"53","5m","17-XII-23","Xmal","CHIC",5,"control",1.035,NA,0.0029,0.0022,24.13793103,"",NA,NA,"Xmal_control",11.3146153846154,10.35,0.914746073832348,-0.321538461538462
"54","5m","17-XII-23","Xmal","CHIC",1,"starved",0.937,NA,0.0034,0.0029,14.70588235,"",NA,NA,"Xmal_starved",11.3146153846154,9.37,0.828132435923584,-0.648205128205128
"55","5m","17-XII-23","Xmal","CHIC",2,"starved",0.966,NA,0.0031,0.0027,12.90322581,"",NA,NA,"Xmal_starved",11.3146153846154,9.66,0.853763002243524,-0.551538461538462
"56","5m","17-XII-23","Xmal","CHIC",3,"starved",1.05,NA,0.0035,0.0029,17.14285714,"",NA,NA,"Xmal_starved",11.3146153846154,10.5,0.928003263308179,-0.271538461538462
"57","5m","17-XII-23","Xmal","CHIC",4,"starved",0.932,NA,0.0032,0.0026,18.75,"",NA,NA,"Xmal_starved",11.3146153846154,9.32,0.823713372764974,-0.664871794871795
"58","5m","17-XII-23","Xmal","CHIC",5,"starved",0.979,NA,0.0033,0.0028,15.15151515,"",NA,NA,"Xmal_starved",11.3146153846154,9.79,0.865252566455911,-0.508205128205129
"59","5m","17-XII-23","Xmal","CHIC",6,"starved",1.046,NA,0.0036,0.0029,19.44444444,"",NA,NA,"Xmal_starved",11.3146153846154,10.46,0.92446801278129,-0.284871794871795
"60","5m","17-XII-23","Xmal","CHIC",7,"starved",0.983,NA,0.0035,0.0029,17.14285714,"",NA,NA,"Xmal_starved",11.3146153846154,9.83,0.8687878169828,-0.494871794871795
