born_on_date,born_month,born_year,collection,species_site,species,site,parents,tank_id,brood_no,brood_ID,individual,sl_mm,hw_mm,hw/sl,notes,gen
3-II-22,II,22,II-22,XcorSAFE,Xcor,SAFE,,,2,XcorSAFE_II-22_2,5,8.127,1.701,0.209302326,,
3-II-22,II,22,II-22,XcorSAFE,Xcor,SAFE,,,2,XcorSAFE_II-22_2,6,8.735,1.782,0.204006869,,
3-II-22,II,22,II-22,XcorSAFE,Xcor,SAFE,,,2,XcorSAFE_II-22_2,7,8.437,1.777,0.210619889,,
3-II-22,II,22,II-22,XcorSAFE,Xcor,SAFE,S000144,OA2-?,3,XcorSAFE_II-22_3,1,7.385,1.789,0.2422478,,
3-II-22,II,22,II-22,XcorSAFE,Xcor,SAFE,S000144,OA2-?,3,XcorSAFE_II-22_3,2,8.127,1.54,0.189491817,,
27-IV-22,IV,22,IV-22,XcorSAFE,Xcor,SAFE,S000144,,4,XcorSAFE_IV-22_4,1,8.334,2.387,0.286417087,,
27-IV-22,IV,22,IV-22,XcorSAFE,Xcor,SAFE,S000144,,4,XcorSAFE_IV-22_4,2,9.242,1.997,0.216078771,,
17-VI-22,VI,22,VI-22,XcorSAFE,Xcor,SAFE,,,5,XcorSAFE_VI-22_5,1,9.26,1.688,0.182289417,,
17-VI-22,VI,22,VI-22,XcorSAFE,Xcor,SAFE,,,5,XcorSAFE_VI-22_5,2,8.067,1.853,0.229701252,,
22-VII-19,VII,19,VII-19,XcorXGSC,Xcor,XGSC,,,1,XcorXGSC_VII-19_1,1,6.7593,1.7699,0.261846641,,0
22-VII-19,VII,19,VII-19,XcorXGSC,Xcor,XGSC,,,1,XcorXGSC_VII-19_1,2,7.4352,1.9959,0.268439316,,0
22-VII-19,VII,19,VII-19,XcorXGSC,Xcor,XGSC,,,1,XcorXGSC_VII-19_1,3,7.0833,1.9818,0.279784846,,0
22-VII-19,VII,19,VII-19,XcorXGSC,Xcor,XGSC,,,1,XcorXGSC_VII-19_1,4,7.3816,1.8821,0.254971822,,0
22-VII-19,VII,19,VII-19,XcorXGSC,Xcor,XGSC,,,1,XcorXGSC_VII-19_1,5,6.8384,1.9531,0.285607745,,0
22-VII-19,VII,19,VII-19,XcorXGSC,Xcor,XGSC,,,1,XcorXGSC_VII-19_1,6,7.0839,1.8155,0.25628538,,0
22-VII-19,VII,19,VII-19,XcorXGSC,Xcor,XGSC,,,1,XcorXGSC_VII-19_1,7,7.3502,1.8062,0.24573481,,0
22-IV-22,IV,22,IV-22,Xmal_xbir,Xmal_xbir,,S000075,,1,Xmal_xbir_IV-22_1,1,9.046,2.176,0.240548309,,
22-IV-22,IV,22,IV-22,Xmal_xbir,Xmal_xbir,,S000075,,1,Xmal_xbir_IV-22_1,2,10.165,2.301,0.226364978,,
17-X-22,X,22,X-22,Xmal_xbir,Xmal_xbir,,,roof tank 7,3,Xmal_xbir_X-22_3,1,9.864,2.216,0.224655312,,
4-X-22,X,22,X-22,Xmal_xbir,Xmal_xbir,,"S000180,158,168,163",OC2-1,12,Xmal_xbir_X-22_12,1,10.573,2.281,0.215738201,,
4-X-22,X,22,X-22,Xmal_xbir,Xmal_xbir,,"S000180,158,168,163",OC2-1,12,Xmal_xbir_X-22_12,2,10.497,2.226,0.212060589,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,1,9.19,2.085,0.22687704,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,2,10.598,2.222,0.2096622,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,3,9.114,2.077,0.227891156,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,4,10.118,2.506,0.247677407,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,5,10.488,2.485,0.236937452,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,6,10.789,2.209,0.204745574,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,7,10.493,2.296,0.218812542,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,8,10.012,2.566,0.256292449,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,9,10.575,2.519,0.23820331,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,10,10.068,2.567,0.25496623,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,11,9.891,2.223,0.224749773,,
29-X-21,X,21,X-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,1,Xmal_xbir_F1_X-21_1,12,9.912,2.444,0.246569814,,
7-XI-21,XI,21,XI-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,2,Xmal_xbir_F1_XI-21_2,1,10.544,2.533,0.240231411,,
7-XI-21,XI,21,XI-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,2,Xmal_xbir_F1_XI-21_2,2,8.867,2.345,0.264463742,,
7-XI-21,XI,21,XI-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,2,Xmal_xbir_F1_XI-21_2,3,9.34,1.729,0.185117773,,
7-XI-21,XI,21,XI-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,2,Xmal_xbir_F1_XI-21_2,4,8.929,2.444,0.273714862,,
7-XI-21,XI,21,XI-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,2,Xmal_xbir_F1_XI-21_2,5,9.054,2.271,0.250828363,,
7-XI-21,XI,21,XI-21,Xmal_xbir_F1,Xmal_xbir_F1,,,,2,Xmal_xbir_F1_XI-21_2,6,9.381,2.236,0.23835412,,
16-VI-22,VI,22,VI-22,Xmal_xbir_F1,Xmal_xbir_F1,,roof S000089; S000100,,3,Xmal_xbir_F1_VI-22_3,1,12.489,2.615,0.209384258,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,1,11.047,2.039,0.184574998,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,2,11.31,2.49,0.220159151,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,3,10.935,2.35,0.214906264,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,4,10.589,2.236,0.211162527,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,5,11.782,2.458,0.208623324,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,6,11.236,2.163,0.19250623,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,7,11.811,2.549,0.215815765,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,8,10.666,1.984,0.186011626,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,9,10.86,2.273,0.209300184,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,10,11.22,2.263,0.201693405,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,11,13.081,2.72,0.207935173,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,12,10.466,2.096,0.200267533,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,13,11.351,2.068,0.182186591,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,14,10.871,2.393,0.220126943,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,15,10.854,2.21,0.203611572,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,16,13.163,2.333,0.177239231,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,17,10.051,2.031,0.202069446,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,119,10.822,2.196,0.202919978,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,20,10.27,2.37,0.230769231,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,21,10.949,2.445,0.223308065,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,22,10.678,2.047,0.191702566,,
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,23,11.176,2.291,0.204992842,,
