GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001772	0.00523749738971857	402.705882352941	0.00524399126001457	1	2	immunological synapse	ENSXMAG00000001861	prkcda
GO:0005891	0.0437009758163601	25.1139705882353	0.0445739257101238	1	17	voltage-gated calcium channel complex	ENSXMAG00000014634	CACNG1
GO:0016442	0.00187976138080694	37.0869565217391	0.0655498907501821	2	25	RISC complex	ENSXMAG00000020399,ENSXMAG00000020705	MIR214,MIR101-1
GO:0031332	0.00187976138080694	37.0869565217391	0.0655498907501821	2	25	RNAi effector complex	ENSXMAG00000020399,ENSXMAG00000020705	MIR214,MIR101-1
GO:0034704	0.0437009758163601	25.1139705882353	0.0445739257101238	1	17	calcium channel complex	ENSXMAG00000014634	CACNG1
GO:0042383	0.0411810837895259	26.7921568627451	0.0419519300801165	1	16	sarcolemma	ENSXMAG00000014634	CACNG1
GO:0120293	0.0104490798228899	134.196078431373	0.0104879825200291	1	4	dynein axonemal particle	ENSXMAG00000006476	dnaaf4
